Summary,Description,Issue Type,Priority,Component/s,Status
dropdown organization repos blank,dropdown lets select organization show repositories blanki using sourcetree authenticated oauth bitbucket hosted atlassianimagepngwidthheightrelated questions atlassian communitywhy dropdown organization repos showing atlassiancom blank selecting remote repos atlassiancom stack overflowbitbucket workspaces blank selecting remote repos sourcetree stack overflow,bug,Low,General,Closed
update beta beta fails,dear supporthaving version betagot notification update betawhen click update fails followingnoformatmethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsnoformatthen cannot open sourcetree normally anymore start menuthe following exe working anymorecusersuserappdatalocalsourcetreebetasourcetreeexei found workaround go folder run itcusersusernameappdatalocalsourcetreebetaappbetasourcetreeexethe folder emptybesthegyre,bug,Highest,Beta,Closed
sourcetree crashes startup,start sourcetree get dos ssh popup sourcetree app appears back sourcetree app crashes usually type passphrase afterit took attempts start app today crashes event log entry like one faulting application name sourcetreeexe version time stamp xfaulting module name kernelbasedll version time stamp xfbfexception code xefault offset xfaecfaulting process id xxffaulting application start time xxdcfbceffaulting application path cusersjmappdatalocalsourcetreeappsourcetreeexefaulting module path cwindowssystemkernelbasedllreport id fbabdbfccfaulting package full name faulting packagerelative application id,bug,High,General,Closed
sourcetree pushing remote repo using embedded git stuck adding servers rsa fingerprint,attempting push bitbucket server getting stuck running commandgit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks push v tags origin mastermaster becuase command use accept question trust host enter add key console window opened interactive allow use type press enterthe error presented isthe servers host key cached guaranteethat server computer think isimagepng,bug,High,Bitbucket,Needs Triage
git mv command working properly folder renaming,trying rename folder running command sourcetree terminal see failinggit mv f captmfdriver captmfdriver note changing lowercase upper caseand seeing bellow failurequote git mv f captmfdriver captmfdriverrename ultrascalehwdriverscaptmfdriver ultrascalehwdriverscaptmfdrivercaptmfdriver failed try yn yrename ultrascalehwdriverscaptmfdriver ultrascalehwdriverscaptmfdrivercaptmfdriver failed try yn nfatal renaming ultrascalehwdriverscaptmfdriver failed permission deniedquotecaptmfdriver folder files change filesimagepngwidthheight,bug,High,Bitbucket,Closed
staging modified file name long removing file git system,file absolute name greater chars modify file file appearing modified unstagged sectiononce click stage sourcetree ui file appears section stagged marked deleted modified bei inspected command executed trying effectively remove itgit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks rm q f mylongpathfilegit add manually worksim using system git embedded one,bug,High,Git,Short Term Backlog
internal tabs dont align tab stops diff view,several years ago feature added convert tabs number spaces specified user works fine indentation internal tabbing blindly applying spaces per tab gets wrong time disabling setting worse default tab stop spaces jacks code even worsethe following setting causes git console render desired sourcetree something similar git config global corepager less x,bug,Medium,UX,Needs Triage
context menu text visible dark mode,click branch toolbar icon create new branch text field new branch name right click context menu menu appears text visible,bug,Medium,UX,Closed
cannot push changes branch,recently set bitbucket atlassian account setting sourcetree configuration testing setup able push changes branch used different combinations authentication usernames passwords continue receive errorgit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks push v tags setupstream origin learningqueriesmplearningqueriesmpfatal invalid credentialsfatal authentication failed errors see,bug,Medium,branch,Gathering Impact
crash clonning repo,repo two commits one branch master try clone sourcetree fails retrieving default branchapplication sourcetreeexeframework version vdescription process terminated due unhandled exceptionexception info systemindexoutofrangeexception sourcetreereporepohandlergitoldgetdefaultbranchsystemstring sourcetreeviewmodelclonenewdialogviewmodelcdisplayclassrefreshremotebranchesb systemthreadingtaskstasksystemcanon mscorlib version cultureneutral publickeytokenbaceinnerinvoke systemthreadingtaskstaskexecute systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationsystemthreadingtaskstask systemruntimecompilerservicestaskawaitersystemcanon mscorlib version cultureneutral publickeytokenbacegetresult sourcetreeviewmodelclonenewdialogviewmodelrefreshremotebranchesdmovenext systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationsystemthreadingtaskstask systemruntimecompilerservicestaskawaitergetresult sourcetreeviewmodelclonenewdialogviewmodelchecksourcedmovenextexception info reactiveuiunhandlederrorexception reactiveuirxappcdisplayclasscctorb systemreactiveconcurrencyschedulerinvokesystemreactiveconcurrencyischeduler systemaction systemreactiveconcurrencydispatcherschedulercdisplayclasssystemcanon mscorlib version cultureneutral publickeytokenbacescheduleb systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcheroperationinvokeimpl msinternalculturepreservingexecutioncontextcallbackwrappersystemobject systemthreadingexecutioncontextruninternalsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject msinternalculturepreservingexecutioncontextrunmsinternalculturepreservingexecutioncontext systemthreadingcontextcallback systemobject systemwindowsthreadingdispatcheroperationinvoke systemwindowsthreadingdispatcherprocessqueue systemwindowsthreadingdispatcherwndprochookintptr int intptr intptr boolean byref mswinhwndwrapperwndprocintptr int intptr intptr boolean byref mswinhwndsubclassdispatchercallbackoperationsystemobject systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcherlegacyinvokeimplsystemwindowsthreadingdispatcherpriority systemtimespan systemdelegate systemobject int mswinhwndsubclasssubclasswndprocintptr int intptr intptr mswinunsafenativemethodsdispatchmessagesystemwindowsinteropmsg byref systemwindowsthreadingdispatcherpushframeimplsystemwindowsthreadingdispatcherframe systemwindowsapplicationrundispatchersystemobject systemwindowsapplicationruninternalsystemwindowswindow sourcetreeappmain,bug,Low,Git,Short Term Backlog
